Genres,Openness,Conscientiousness,Extraversion,Agreeableness,Stability
Afropop,0.112,0.009,0.034,0.046,0.048
Alternative,0.064,-0.080,-0.101,-0.072,-0.092
Atmospheric,0.139,-0.056,-0.073,0.002,-0.038
Black Metal,0.058,-0.037,-0.073,-0.060,-0.013
Blast,0.058,-0.043,-0.080,-0.059,-0.025
Blues,0.096,0.109,0.056,0.098,0.087
Caribbean,0.022,0.053,0.119,0.072,0.072
Children,0.023,0.028,0.026,0.062,0.003
Chill,0.124,-0.036,-0.044,0.011,-0.019
Christian,-0.036,0.058,0.026,0.079,0.044
Classic Rock,0.065,0.057,-0.014,0.036,0.026
Classical,0.147,-0.022,-0.031,0.005,-0.015
Comedy,0.019,-0.125,-0.085,-0.062,-0.057
Country,-0.067,0.125,0.141,0.095,0.067
Death Metal,0.042,-0.072,-0.108,-0.093,-0.038
Deep House,0.092,-0.003,0.009,0.021,0.016
Doom,0.092,-0.033,-0.062,-0.054,0.003
Easy Listening,0.067,0.094,0.050,0.095,0.037
Electro,0.111,-0.047,-0.025,-0.003,-0.010
Emo,0.006,-0.140,-0.109,-0.099,-0.155
Epic,0.072,-0.108,-0.116,-0.053,-0.074
Folk,0.154,0.048,0.019,0.051,0.010
Funk,0.082,0.119,0.118,0.124,0.072
Funk Carioca,0.000,0.016,0.061,0.057,0.039
Gothic,0.069,-0.052,-0.110,-0.078,-0.038
Hip-hop,-0.023,-0.070,0.063,-0.018,-0.027
House,-0.001,-0.066,0.026,0.006,-0.025
Indie,0.099,-0.081,-0.016,0.000,-0.099
Jazz,0.113,0.104,0.063,0.124,0.060
Latin,0.002,0.034,0.101,0.071,0.036
Metal,0.023,-0.045,-0.102,-0.074,-0.002
Metro,0.071,-0.091,-0.052,-0.016,-0.108
Modern Rock,0.037,-0.073,-0.091,-0.041,-0.120
Neuro,0.014,-0.128,-0.033,-0.040,-0.055
New Age,0.089,0.045,0.005,0.054,0.020
Old Country,0.005,0.132,0.091,0.090,0.086
Other,0.101,-0.054,-0.025,0.005,-0.015
Pop,-0.063,-0.038,0.048,0.019,-0.081
Prog,0.092,0.007,-0.058,-0.002,0.017
Punk,0.02,-0.128,-0.114,-0.103,-0.14
R&B,0.017,0.077,0.123,0.1,0.032
Reggae,0.085,0.051,0.062,0.04,0.046
Reggaeton,-0.023,0.042,0.112,0.067,0.043
Regional Music(Brazil),0.064,0.049,0.052,0.077,0.065
Regional Music(France),0.072,-0.016,0.003,0.025,-0.007
Regional Music(Germany),0.008,-0.018,-0.011,-0.022,-0.007
Regional Music(Japan),0.055,-0.112,-0.103,-0.081,-0.069
Regional Music(Korea),-0.009,-0.084,-0.037,-0.03,-0.079
Regional Music(Mexico),0.003,0.019,0.076,0.058,0.041
Regional Music(SE Asia),0.003,-0.008,0.011,0.019,-0.022
Rock,0.054,-0.079,-0.111,-0.068,-0.088
Sertanejo,-0.027,0.014,0.029,0.025,0.03
Soul,0.08,0.128,0.11,0.124,0.076
Soundtrack,0.055,-0.052,-0.038,-0.008,-0.082
Spoken,0.015,-0.031,-0.023,0.001,-0.03
Synth,0.086,-0.026,-0.059,-0.009,-0.058
World Hip-hop,0.001,-0.048,0.057,-0.015,0.0
World Pop,0.009,-0.038,0.003,0.003,-0.041
World Punk,0.048,0.004,-0.009,-0.019,0.021
Organic,0.143,-0.051,-0.037,-0.001,-0.080
